game,winner,game_length,peak_setup_p0,peak_setup_p1,ko_count_p0,ko_count_p1,p0_meganium_active_events,p1_meganium_active_events,p0_meganium_failure_reason,p1_meganium_failure_reason,p0_turn_chikorita_or_applin_played,p0_turn_any_evolution,p0_turn_meganium_in_play,p0_turn_meganium_benched,p0_turn_hydrapple_attack_ready,p0_turn_ogerpon_attack_ready,p0_turn_any_attacker_ready,p0_turn_full_target_state,p1_turn_chikorita_or_applin_played,p1_turn_any_evolution,p1_turn_meganium_in_play,p1_turn_meganium_benched,p1_turn_hydrapple_attack_ready,p1_turn_ogerpon_attack_ready,p1_turn_any_attacker_ready,p1_turn_full_target_state,p0_regressed_chikorita_or_applin_played,p0_regressed_any_evolution,p0_regressed_meganium_in_play,p0_regressed_meganium_benched,p0_regressed_hydrapple_attack_ready,p0_regressed_ogerpon_attack_ready,p0_regressed_any_attacker_ready,p0_regressed_full_target_state,p1_regressed_chikorita_or_applin_played,p1_regressed_any_evolution,p1_regressed_meganium_in_play,p1_regressed_meganium_benched,p1_regressed_hydrapple_attack_ready,p1_regressed_ogerpon_attack_ready,p1_regressed_any_attacker_ready,p1_regressed_full_target_state
84,1,18,341,767,8,7,9:evolve_active_with_bench_available;11:forced_or_chosen_switch,,,,3,9,9,9,,5,5,,1,4,4,4,8,10,8,8,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True
85,1,10,411,205,6,4,9:forced_or_chosen_switch,,,drawn_never_played,1,3,3,3,5,,5,3,2,6,,,,6,6,,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False
86,1,12,389,756,9,4,5:evolve_active_with_bench_available;7:forced_or_chosen_switch;11:forced_or_chosen_switch,,,,1,9,5,5,,,,6,2,8,8,8,,4,4,8,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False
87,1,10,399,582,4,4,9:forced_or_chosen_switch,4:evolve_active_with_bench_available,,,1,,3,3,,7,7,3,1,4,4,4,,4,4,4,True,False,False,True,False,True,True,True,True,True,False,False,False,True,True,True
88,1,16,379,602,7,3,4:unknown,,,,1,3,3,3,,3,3,3,1,12,12,12,,8,8,12,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False
89,1,14,465,284,7,4,9:forced_or_chosen_switch;11:forced_or_chosen_switch,,,played_then_ko_before_meganium,3,7,7,7,,3,3,7,1,4,,,,4,4,,True,True,True,True,False,True,True,True,False,True,False,False,False,True,True,False
90,0,17,711,238,10,4,,,,played_then_ko_before_meganium,1,3,5,5,13,5,5,6,1,4,,,,6,6,,True,True,False,False,False,True,True,True,True,False,False,False,False,True,True,False
91,0,11,642,283,4,6,,,,,1,5,5,5,9,5,5,5,1,10,10,10,,8,8,,True,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False
92,1,14,399,722,9,4,9:forced_or_chosen_switch,,,,5,7,7,7,,7,7,7,8,8,12,12,,6,6,12,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False
93,0,13,633,491,7,7,,,,,1,3,7,7,7,7,7,7,1,4,12,12,,6,6,12,True,True,False,False,False,True,False,True,True,True,False,False,False,True,True,True
94,0,15,548,500,8,8,,,,,9,9,11,11,13,5,5,13,1,12,12,12,4,8,4,12,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True
95,1,14,200,599,8,6,8:forced_or_chosen_switch,,,,1,5,5,5,,11,11,,1,4,4,4,,6,6,6,False,True,True,True,False,True,True,False,True,True,False,False,False,True,True,True
96,0,11,555,121,2,3,,,,drawn_never_played,9,9,9,9,,5,5,9,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,1,12,441,454,7,7,5:forced_or_chosen_switch;6:unknown,,,,1,9,3,3,,3,3,3,1,4,12,12,,4,4,12,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,False
98,0,19,436,150,5,6,15:forced_or_chosen_switch,,,played_then_ko_before_meganium,1,15,7,7,,17,17,14,1,4,,,,,,,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
99,1,16,212,602,6,8,,14:evolve_active_with_bench_available,played_then_ko_before_meganium,,5,7,,,7,11,7,,2,4,12,12,12,6,6,12,True,True,False,False,True,True,True,False,True,True,False,False,False,True,True,True
100,0,21,476,274,5,9,15:forced_or_chosen_switch,,,,5,5,5,5,15,13,13,13,1,4,20,20,,6,6,,True,True,False,True,False,True,True,True,False,False,False,False,False,True,True,False
101,1,12,379,703,6,3,,,,,9,11,11,11,,5,5,11,2,4,4,4,,4,4,6,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True
102,0,13,691,503,6,6,,,,,1,7,11,11,11,7,7,11,10,10,10,10,,4,4,10,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True
103,1,8,478,505,7,4,,,,,1,5,5,5,,3,3,5,1,8,8,8,,4,4,8,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False
104,0,13,585,312,5,7,,12:forced_or_chosen_switch,,,1,3,5,5,7,3,3,5,2,4,4,4,,,,8,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True
105,0,17,701,158,5,3,,,,played_stuck_never_evolved,1,5,3,3,9,13,9,13,16,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
106,1,12,617,464,7,5,,,,,1,3,5,5,9,5,5,5,1,12,12,12,4,6,4,12,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,False
107,0,11,547,409,6,6,8:unknown,4:evolve_active_empty_bench;6:forced_or_chosen_switch;7:unknown,,,1,3,3,3,,3,3,3,1,4,4,4,,8,8,6,False,True,True,True,False,False,False,True,True,True,True,True,False,False,False,True
108,0,11,666,525,4,8,,,,,1,7,5,5,7,5,5,5,1,6,10,10,,10,10,10,True,True,False,False,False,False,False,True,False,True,False,False,False,True,True,True
109,0,11,600,177,4,7,7:forced_or_chosen_switch,,,played_then_ko_before_meganium,1,3,3,3,11,3,3,3,1,4,,,6,4,4,,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False
110,0,13,552,550,6,8,,,,,1,3,3,3,7,5,5,7,6,6,10,10,,8,8,10,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True
111,0,13,662,177,4,5,,,,drawn_never_played,1,7,7,7,7,9,7,7,4,4,,,,6,6,,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False
112,1,16,372,516,5,5,,,,,3,13,13,13,,3,3,15,1,4,8,8,10,6,6,9,False,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True
113,1,12,411,239,9,4,5:forced_or_chosen_switch,,,played_then_ko_before_meganium,1,3,3,3,11,3,3,3,1,4,,,,4,4,,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False
